id,sentence,prob_enthymeme,is_enthymeme,implicit_label,prob_none,prob_premise,prob_conclusion,implicit_content
187,They tried a virus then a vaccine then another virus so WW3 best way to bring the population down the WEF and wealthy elites need bringing down.,0.5163,False,,0.4897,0.1589,0.3514,
333,"Damien: one of the meanings: to tame Tame meaning in Bible: to defile, to become unclean. ?? Thorn: 'Qowts'. 'In the sense of pricking. Also, a 'sharp': ?? Trump claimed to be the 'Father of the Vaccine' ?? Not a 'vaccine'",0.178,False,,0.4862,0.1759,0.3379,
389,Privacy? Like not being able to make people to take an unproven vaccine or lose their job?,0.1256,False,,0.4836,0.1494,0.3671,
610,and the questionable effectiveness plus side effects of those experimental vaccines 'definitive vax efficacy was really just colored by optimistic wishful thinking. '-CDC Director,0.1675,False,,0.4989,0.1412,0.3599,
858,"If you're against fake vaccines, don't get one. If you're against guns, don't get one. If you're against traditional marriage and White culture, don't participate in it. But you don't really mean this premise. So none of the above means anything to you. Leave our country.",0.3884,False,,0.186,0.5441,0.2699,
989,"I probably would have if you hadn't spent the last 2 years lying about the covid vaccines. I wouldn't even take a panadol now if you recommend it, you have lost all credibility. You said the vax stops transmission and is safe which is a complete lie.",0.8324,True,premise,0.179,0.5792,0.2418,"If you say the vax stops transmission and is safe which is a complete lie, you have lost all credibility"
1199,Please don't inject that stuff into your kids. They are not vulnerable. You were lied to. 5% of the population has significant reactions to the vaccines(kids are worse off). Your kids have basically 0 chance of dying from COVID,0.8384,True,premise,0.1851,0.5667,0.2482,"If 5% of the population has significant reactions to the vaccines, then your kids have basically 0 chance of dying from COVID ."
1283,Bill Gates: largest investor in vaccines and there's a fake pandemic. Bill Gates: largest owner of land in America and there's a food crisis. Bill Gates: largest investor in labor grown baby milk and there's a baby formula shortage. ???? get it yet? Hope so??,0.4629,False,,0.4321,0.2095,0.3584,
1413,All planned its just getting going so they will be unable to cope soon with the deaths caused by gates death vaccine as he said enclosed and as we have predicted March April 2020 Gates should be locked away from society maximum security prison with no window,0.3966,False,,0.4711,0.1625,0.3665,
1478,Vaccine mandates based on hope. Hope is not science. Listen and weep. Libido destroyed for some hope vaccines will work.,0.7512,True,premise,0.2105,0.5316,0.2579,Vaccine mandates should be based on science instead of hope
1787,Not when it kills another human life Follow th science ppl were mandated 2 take COVID vaccine or lose their job Even when they had natural immunity after having COVID They weren't given 'control over their own body' vaccine didn't give immunity/keep them from transmitting COVID,0.5943,True,none,0.4783,0.1862,0.3354,
2208,We're taking action to deter dangerous & illegal migration with our #BordersBill: Breaking the people-smugglers' deadly business model.' Supporting those in genuine need via safe & legal routes.'€º€ Making it easier to remove illegal arrivals with no right to be here.''',0.1983,False,,0.482,0.1299,0.3881,
2314,"Access to the UK's asylum system should be based on need, not ability to pay people smugglers.Read my piece on 70th anniversary of the UN Refugee Convention being signed.",0.1597,False,,0.4641,0.1286,0.4074,
2655,"This piece demonstrates the truth of what some of us long argued: free movement depressed wages in several sectors, including agriculture. But we were dismissed as 'anti-migrant' and 'reactionary'. Facts may be awkward sometimes. But they're still facts.",0.8279,True,premise,0.1819,0.5169,0.3012,"if wages depressed wages in several sectors, including agriculture, you are dismissed as 'anti-migrant' and 'reactionary'. Facts may be awkward sometimes. But they're still facts"
3256,TRUMP: ‘OUR COUNTRY HAS TURNED INTO A MIGRANT CAMP' 'THIS IS AN INVASION',0.3022,False,,0.3957,0.16,0.4444,
