id,tweet_text,ann1_label,ann1_implicit,ann2_label,ann2_implicit,ann3_label,ann3_implicit,ann4_label,ann4_implicit,ann5_label,ann5_implicit,majority_label
57,"A reminder to you men who never passed a science class after middle school and think if you make your uneducated opinions loud, they'll become fact...abortions aren't contagious and vaccines were not required UNLESS you CHOSE to stay in a high exposure job with public health risk",none,,none,,none,,none,,none,,none
1111,"BioNTtech in conflict with regulator over new COVID vaccine approval - WAS 'Mr. Sahin demands that only animal data be submitted for approval of variant vaccines,'the PEI chief told WAS,adding this could be done in an emergency but there was no emergency..",conclusion,ONLY Animal data is not enough for vaccine and thus should not be submitted for new COVID Vaccine.,conclusion,They do not have to let Mr. Sahin submit Only animal data for approval of variant vaccines,conclusion,the vaccine should not have been approved on animal data alone,conclusion,the vaccine should not have been approved on animal data alone,none,,conclusion
369,"What a crock of BS this is. Keep on selling those ineffective leaky vaccines. Does anybody actually believe this? COVID-19 vaccines prevented nearly 20 million deaths in a year, study estimates - STAT",none,,premise,"If nobody believes something, it must not be true / must be BS",none,,conclusion,The study and the source are not credibly and may profit from the vaccines,conclusion,Attempts to stop the use of covid vaccines are not based on actual evidence,conclusion
769,"Who will be the first Republican member of Congress to give all the Blood Money back to Pharma, call to Ban the Vaccines, and make a run at the GOP nomination?",none,,none,,premise,this situation was only possible because Pharma bribed republican congress members,none,,none,,none
1785,The Biden Pentagon's handling of this crisis is a national disgrace. 'God Has Called Me to Stand Up': USAF Pilot Facing Discharge for Rejecting COVID Vaccine via,premise,"If a USAF Pilot Faces Discharge for Rejecting COVID Vaccine, then Biden Pentagon's handling of this crisis is a national disgrace .",premise,Discharging experienced military pilots over vaccine status is a national disgrace,premise,Discharging a pilot for rejecting covid vaccine is a disgrace,premise,Discharging experienced military pilots over vaccine status is a national disgrace,premise,"If a USAF Pilot Faces Discharge for Rejecting COVID Vaccine, then Biden Pentagon's handling of this crisis is a national disgrace .",premise
583,This sick! Pure evil to deny this poor baby medical treatment over a failed highly toxic genetic vaccine! What is wrong with this medical establishment ??,none,,premise,A child is being denied medical treatment over a [...] vaccine,none,,none,,none,,none
1512,"Vaccine mandates, lost your job? Silence. Vaccine mandate- resulted in disability or death? Silence. These people are so disingenuous.",premise,People who remain silent about vaccine harms are disingenuous,premise,You are disingenuous if you stay silent if people lose their jobs or are disabled or die due to vaccine mandates,conclusion,You don’t react in the same way if the conclusions do not fit your scheme,premise,Those who remain silent about the job losses disabilities and deaths caused by vaccine mandates are being disingenuous,premise,You are disingenuous if you stay silent if people lose their jobs or are disabled or die due to vaccine mandates,premise
1244,The CDC said they are flawed positive. This is to keep the 'pandemic' and vaccines going for profit and control.,none,,none,,none,,none,,none,,none
2144,"Mass immigration aded 258,000 people to the UK population in 2018, with no signs of a reduction this year. These people will all require medical treatment at some point. The #NHS simply cannot cope with these pressures.",conclusion,Mass immigration needs to be stopped/ is not desirable,conclusion,We must stop/reduce mass immigration to relieve pressure from the NHS,conclusion,We must stop/reduce mass immigration to relieve pressure from the NHS,none,,conclusion,If we continue like this we are heading for disaster in medical support,conclusion
2038,"Also JT, I'm going to tell you what to do with your body. Inject this mystery fluid. It's a 'vaccine.' This will make me rich.",conclusion,The reason JT told people to vaccine is to gain profit.,none,,premise,Vaccines are made for JT's benefit,conclusion,The vaccines are ineffective and only serve to make pharmaceutical companies rich,conclusion,"you are mislead into doing something that is not in your interest, but in mine",conclusion
1674,"It's sad that a prominent editor at a medical journal needs to be 'debunked' at all. This is the latest in a pattern of weird methodology to cast doubt on vaccines. A quick rule of thumb: If you're still analyzing the original RCTs in isolation, you have a clear agenda.",none,,premise,"Researchers who selectively use outdated trial data to undermine vaccine confidence are pursuing an anti-vaccine agenda, not genuine science",premise,A prominent editor at a medical journal cast doubt on vaccines,premise,A pattern of non-standard methodology to cast doubt on vaccines indicates a coordinated anti-vaccine agenda,premise,"Researchers who selectively use outdated trial data to undermine vaccine confidence are pursuing an anti-vaccine agenda, not genuine science",premise
112,"CDC urges gay, bisexual men to get meningococcal vaccine after reports of disease outbreak that's among worst in history",none,,none,,none,,none,,none,,none
351,So you can choose abortive birth control so can father's choose not to pay child support? You want everything equal except what the father wants. So not equal. My body my choice also except for the Covid 'Vaccine' that DOES NOT prevent Covid. Make it make sense!,premise,"If my body my choice applies to other things but my body my choice does not apply for the covid vaccine, that would not make sense",premise,It is hypocritical to support bodily autonomy for abortion while supporting vaccine mandates for a vaccine that does not even prevent COVID,premise,It is wrong to support my body my choice and support the covid vaccine that does not prevent covid,premise,It is hypocritical to support bodily autonomy for abortion while supporting vaccine mandates for a vaccine that does not even prevent COVID,premise,It is wrong to support my body my choice and support the covid vaccine that does not prevent covid,premise
3101,"Our cities have seen rapid and momentous change in the last two decades. The public never asked for mass, uncontrolled immigration, but the politicians have forced it on the country anyway... °",none,,conclusion,Politicians are out of touch with the public .,conclusion,The politicians have abandoned the public,conclusion,The politicians have abandoned the public,conclusion,Politicians are out of touch with the public .,conclusion
1290,Dr. Deborah Birx Admits the Biden Admin's Vaccine Efficacy Claims Were Actually Just Based on 'Hope' Not Science,none,,none,,conclusion,the administration did something very wrong / can’t be trusted,none,,none,,none
295,Yeah we did because ain't it fuckin ironic how y'all will scream that unless it's about injecting an unknown vaccine into your body bc 'the government said to??' are y'all playing stupid? Or just that plain stupid?,premise,"If people scream [that] unless it's about injecting an unknown vaccine into your body because the government said to, they are either playing stupid or plain stupid",premise,Accepting government-mandated injection of an unknown vaccine contradicts the bodily autonomy principle you otherwise claim to support,premise,"If you accept injecting an unknown vaccine into your body bc 'the government said to, you are stupid",premise,Accepting a government-mandated vaccine injection is incompatible with the bodily autonomy principle you claim to uphold,premise,"If you accept injecting an unknown vaccine into your body bc 'the government said to, you are stupid",premise
1936,"... millions of people lost their jobs despite having natural immunity and vaccines failing to stop the spread. Whether the reason politics, corruption, or both, the public health sector's response to the Covid-19 pandemic has been completely unacceptable",premise,Public health responses that ignore natural immunity while costing jobs despite vaccine failure are unacceptable,premise,The public health sector caused million of people to lose their jobs,none,,none,,premise,Public health responses that ignore natural immunity while costing jobs despite vaccine failure are unacceptable,premise
3269,"OBAMA ADMIN GIVES OBAMACARE BENEFITS TO ILLEGAL IMMIGRANTS,FAILS TO PROVIDE VETS NECESSARY CARELIKE IF YOU THINK THIS IS WRONG!",premise,Vets are in a higher priority than illegal immigrants,premise,Veterans are more deserving of care than illegal immigrants .,premise,veterans are more deserving of healthcare than illegal immigrants.,premise,Care should firstly be provided to non-immigrants,conclusion,the Obama administration has its priorities wrong,premise
97,"?????? If everyone that got the vaccine is dying why am I still here? Triple Vaxxed, when will I get my 5g Wi-Fi & AIDS?",conclusion,being vaccinated is not killing everyone.,conclusion,Not everyone that got the vaccine is dying.,conclusion,The vaccine isn't killing everyone who got it,conclusion,Not everyone who got the vaccine is dying,conclusion,The vaccine isn't killing everyone who got it,conclusion
